Date,Price,Open,High,Low,Vol.,Change %,RSI,Target
2025-02-12,1706.8,1693.0,1712.0,1681.2,11400000.0,0.32%,62.75738585496869,0
2025-02-13,1697.7,1699.0,1714.25,1693.55,6300000.0,-0.53%,65.97647058823534,0
2025-02-14,1694.85,1701.9,1701.9,1680.0,9980000.0,-0.17%,56.9957081545064,1
2025-02-17,1717.35,1685.2,1720.0,1681.25,6470000.0,1.33%,60.52009456264776,1
2025-02-18,1723.05,1713.05,1731.55,1706.15,8180000.0,0.33%,58.67473192191367,1
2025-02-19,1727.2,1717.0,1737.9,1712.45,5940000.0,0.24%,57.95804195804198,0
2025-02-20,1687.1,1711.0,1714.7,1685.3,13200000.0,-2.32%,49.08789386401323,1
2025-02-21,1692.5,1680.9,1694.95,1677.25,7840000.0,0.32%,53.562653562653566,0
2025-02-24,1677.1,1681.1,1684.2,1661.1,10350000.0,-0.91%,37.55681818181813,1
2025-02-25,1682.35,1671.1,1688.0,1671.1,12070000.0,0.31%,33.13051414663826,1
2025-02-27,1700.7,1682.55,1710.75,1682.55,17890000.0,1.09%,37.786583639966096,1
2025-02-28,1732.4,1685.0,1737.25,1685.0,27260000.0,1.86%,49.91128010139419,0
2025-03-03,1701.55,1739.8,1743.05,1694.1,10600000.0,-1.78%,46.636665087636196,1
2025-03-04,1710.0,1698.0,1714.3,1693.25,9960000.0,0.50%,52.095516569200754,0
2025-03-05,1690.0,1701.95,1710.8,1688.25,10790000.0,-1.17%,46.17834394904462,1
2025-03-06,1691.2,1687.0,1699.9,1672.25,16480000.0,0.07%,48.46625766871166,0
2025-03-07,1689.25,1682.0,1701.15,1677.6,6690000.0,-0.12%,48.67298578199055,0
