Date,Price,Open,High,Low,Vol.,Change(%)
20-Sep-23,219.15,228,228.9,217.2,3122634,-4.45%
18-Sep-23,229.35,231,234.2,228,1566395,0.31%
15-Sep-23,228.65,228.95,240.05,227.05,7666817,0.73%
14-Sep-23,227,226.8,233.7,224.25,2358415,1.66%
13-Sep-23,223.3,229.25,231,214.15,3023626,-2.53%
12-Sep-23,229.1,248.5,248.5,220,2564654,-7.42%
11-Sep-23,247.45,247.6,249,243,2191918,0.39%
08-Sep-23,246.5,243.6,249.9,242.05,1846291,1.69%
07-Sep-23,242.4,242.15,244.8,239.7,2466712,0.64%
06-Sep-23,240.85,245.05,249.95,234,2598249,-0.74%
05-Sep-23,242.65,252.1,255.9,241,3349412,-3.27%
04-Sep-23,250.85,247.5,261.6,247.05,4749580,2.18%
01-Sep-23,245.5,255.95,261.9,242.65,6446769,-2.50%
31-Aug-23,251.8,233.8,261,233.5,12652177,8.16%
30-Aug-23,232.8,230,234.45,229.35,3524214,2.17%
29-Aug-23,227.85,222.25,229.85,222.25,5728456,3.29%
28-Aug-23,220.6,214,222.85,214,3833749,4.55%
25-Aug-23,211,216,217.6,210.05,1738138,-2.65%
24-Aug-23,216.75,222.5,224,216.2,1815997,-2.58%
23-Aug-23,222.5,225.5,227,221.4,2720524,-0.49%
22-Aug-23,223.6,221.35,226.35,215.5,5627528,1.71%
21-Aug-23,219.85,216,227,210.6,4994560,2.45%
18-Aug-23,214.6,222.5,222.5,211.05,4346093,-3.66%
17-Aug-23,222.75,223.75,228.35,217.05,11898690,-0.02%
16-Aug-23,222.8,207.7,225,204.7,18590171,6.70%
14-Aug-23,208.8,202.3,211.15,194.05,10405291,3.16%
11-Aug-23,202.4,182.35,204.95,182.05,23808053,11.52%
10-Aug-23,181.5,185.9,186.7,178.5,3083265,-0.60%
09-Aug-23,182.6,177.65,189,177.65,8345363,2.79%
08-Aug-23,177.65,175.3,179.7,171.7,1411140,1.89%
07-Aug-23,174.35,171.7,176,170.35,1287160,2.20%
04-Aug-23,170.6,171.3,173.25,169,693006,0.09%
03-Aug-23,170.45,166,173,164.2,1613804,1.31%
02-Aug-23,168.25,172.55,173.05,162.65,1290121,-2.49%
01-Aug-23,172.55,175.7,175.8,171.4,1310903,-1.23%
31-Jul-23,174.7,175.75,176.9,174,984248,-0.31%
28-Jul-23,175.25,175.25,177.7,174,1321521,-0.26%
27-Jul-23,175.7,173.1,176.95,173.05,1662491,0.80%
26-Jul-23,174.3,173.9,175,172.45,1114571,0.03%
25-Jul-23,174.25,173.75,176.5,172,2295348,0.84%
24-Jul-23,172.8,174.8,174.8,170.35,1750139,-0.72%
21-Jul-23,174.05,170.5,175.5,168,4768332,1.87%
20-Jul-23,170.85,173.55,174.4,170.1,3375360,-1.10%
